period_start,period_end,universe_symbol_count,symbols_with_any_price_data,symbols_with_required_lookback,symbols_with_valid_volume,symbols_with_valid_ohlcv,symbols_with_volume_spike_strict_before_quality,symbols_after_quality_filter,filtered_out_count
2024-01-01,2024-02-01,567,506,0,0,0,0,0,0
2024-02-01,2024-03-01,567,506,0,0,0,0,0,0
2024-03-01,2024-04-01,567,506,0,0,0,0,0,0
2024-04-01,2024-05-01,567,506,0,0,0,0,0,0
2024-05-01,2024-06-01,567,506,0,0,0,0,0,0
2024-06-01,2024-07-01,567,506,0,0,0,0,0,0
2024-07-01,2024-08-01,567,506,0,0,0,0,0,0
2024-08-01,2024-09-01,567,506,0,0,0,0,0,0
2024-09-01,2024-10-01,567,506,0,0,0,0,0,0
2024-10-01,2024-11-01,567,506,0,0,0,0,0,0
2024-11-01,2024-12-01,567,506,0,0,0,0,0,0
2024-12-01,2025-01-01,567,506,0,0,0,0,0,0
2025-01-01,2025-02-01,567,506,0,0,0,0,0,0
2025-02-01,2025-03-01,567,506,0,0,0,0,0,0
2025-03-01,2025-04-01,567,506,0,0,0,0,0,0
2025-04-01,2025-05-01,567,506,0,0,0,0,0,0
2025-05-01,2025-06-01,567,506,0,0,0,0,0,0
2025-06-01,2025-07-01,567,506,0,0,0,0,0,0
2025-07-01,2025-08-01,567,506,0,0,0,0,0,0
2025-08-01,2025-09-01,567,506,0,0,0,0,0,0
2025-09-01,2025-10-01,567,506,0,0,0,0,0,0
2025-10-01,2025-11-01,567,506,0,0,0,0,0,0
2025-11-01,2025-12-01,567,506,0,0,0,0,0,0
2025-12-01,2026-01-01,567,506,0,0,0,0,0,0
2026-01-01,2026-02-01,567,506,0,503,503,0,0,0
2026-02-01,2026-03-01,567,506,0,506,506,0,0,0
2026-03-01,2026-04-01,567,506,506,506,506,270,114,156
2026-04-01,2026-05-01,567,506,506,506,506,354,163,191
2026-05-01,2026-06-01,567,506,506,506,506,93,47,46
